feature,importance
years_of_experience,416
tfidf_fit,346
success_score,343
production_score,283
location_fit,237
behavioral_score,189
readiness_score,189
semantic_fit,151
career_score,150
search_appearance_30d,109
avg_tenure,76
saved_by_recruiters_30d,74
profile_views_30d,71
max_edu_tier,66
response_rate,63
interview_completion,45
has_consulting_only,43
num_jobs,39
github_score,27
offer_acceptance_rate,21
short_stints,19
promotion_count,17
notice_period_days,7
linkedin_connected,6
verified_email,4
open_to_work,3
willing_to_relocate,3
verified_phone,1
